producer,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
epworth,0.553,0.792,-10.152,0,0.159,0.329,0.00103,0.17,0.583,119.746
epworth,0.338,0.579,-7.347,0,0.0355,0.698,0.0335,0.0994,0.1,146.123
epworth,0.788,0.947,-3.039,1,0.0458,0.15,0,0.31,0.722,119.991
epworth,0.551,0.674,-6.09,1,0.0282,0.221,0.228,0.0907,0.275,135.963
epworth,0.544,0.464,-8.161,1,0.0387,0.675,0.00212,0.0981,0.148,139.918
epworth,0.59,0.468,-11.083,0,0.185,0.0789,0,0.101,0.349,92.287
epworth,0.594,0.444,-5.855,1,0.0801,0.786,0,0.121,0.731,109.134
epworth,0.143,0.919,-4.438,1,0.11,2.57e-5,0.00427,0.134,0.201,172.668
epworth,0.626,0.725,-8.394,1,0.0285,0.00221,0.686,0.116,0.522,121.017
epworth,0.594,0.613,-10.403,1,0.0272,0.3,0.023,0.107,0.371,104.997
epworth,0.616,0.865,-7.547,0,0.0895,0.119,0,0.107,0.647,79.988
epworth,0.513,0.64,-10.156,0,0.0295,1.33e-4,0.728,0.158,0.366,87.984
epworth,0.601,0.741,-5.569,1,0.0478,0.185,2.91e-5,0.415,0.441,153.96
epworth,0.522,0.512,-11.982,0,0.0335,0.271,0.839,0.0788,0.0999,117.001
epworth,0.384,0.98,-4.297,0,0.0743,1.08e-4,4.04e-5,0.323,0.383,169.967
epworth,0.521,0.76,-7.825,0,0.0307,4e-5,0.617,0.139,0.351,100.99
epworth,0.56,0.477,-8.714,0,0.0256,0.21,0.00287,0.125,0.0961,138.183
epworth,0.651,0.94,-4.644,1,0.0333,0.0137,4.84e-5,0.407,0.875,119.962
epworth,0.741,0.455,-10.797,1,0.0661,0.00192,0.586,0.0818,0.198,132.006
epworth,0.286,0.197,-16.151,1,0.0368,0.792,7.04e-4,0.0981,0.134,189.733
epworth,0.546,0.85,-5.818,0,0.0347,0.0737,0.178,0.247,0.439,105.991
epworth,0.547,0.504,-7.909,0,0.0478,0.779,0,0.155,0.155,119.895
