"danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","track_name","artist_name","album_name","producer","artist_id","album_id","key_name","mode_name","key_mode","Unnamed: 0","album_type","album_images","album_release_date","album_release_year","album_release_date_precision","track_id","artists","available_markets","disc_number","explicit","is_local","track_preview_url","track_number","track_uri","external_urls.spotify"
0.725,0.533,11,-8.999,1,0.031,0.538,0.00368,0.0832,0.446,108.002,"audio_features","7pLl2zhXAMsOqLoSKxH3sX","spotify:track:7pLl2zhXAMsOqLoSKxH3sX","https://api.spotify.com/v1/tracks/7pLl2zhXAMsOqLoSKxH3sX","https://api.spotify.com/v1/audio-analysis/7pLl2zhXAMsOqLoSKxH3sX",206667,4,"i want you to stay.","Tyzo Bloom","You Drive Me Crazy, Don't Leave","epworth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.417,0.891,6,-4.314,0,0.0444,0.00198,4.51e-05,0.132,0.555,92.397,"audio_features","7m40n6b1NQMWP3qTwLnrgn","spotify:track:7m40n6b1NQMWP3qTwLnrgn","https://api.spotify.com/v1/tracks/7m40n6b1NQMWP3qTwLnrgn","https://api.spotify.com/v1/audio-analysis/7m40n6b1NQMWP3qTwLnrgn",224293,4,"Limassol","Maximo Park","A Certain Trigger","epworth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.869,0.406,0,-15.172,1,0.0662,0.447,0.903,0.0713,0.96,114.024,"audio_features","10FLYqpqDN4uo6eWtD6WEB","spotify:track:10FLYqpqDN4uo6eWtD6WEB","https://api.spotify.com/v1/tracks/10FLYqpqDN4uo6eWtD6WEB","https://api.spotify.com/v1/audio-analysis/10FLYqpqDN4uo6eWtD6WEB",180373,4,"I Don't Know - Remastered 2009","Beastie Boys","Hello Nasty (Deluxe Edition/Remastered)","epworth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.628,0.866,7,-4.379,1,0.0781,0.185,0,0.108,0.658,89.95,"audio_features","78EEqG3ZPkI4VrgoM8DyI7","spotify:track:78EEqG3ZPkI4VrgoM8DyI7","https://api.spotify.com/v1/tracks/78EEqG3ZPkI4VrgoM8DyI7","https://api.spotify.com/v1/audio-analysis/78EEqG3ZPkI4VrgoM8DyI7",184520,4,"Once, A Glimpse","Maximo Park","A Certain Trigger","epworth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.571,0.914,9,-2.369,1,0.0417,0.0928,0,0.0509,0.752,94.98,"audio_features","5utXNsGA6O489aj0DCkFhd","spotify:track:5utXNsGA6O489aj0DCkFhd","https://api.spotify.com/v1/tracks/5utXNsGA6O489aj0DCkFhd","https://api.spotify.com/v1/audio-analysis/5utXNsGA6O489aj0DCkFhd",143640,4,"Now I'm All Over The Shop","Maximo Park","A Certain Trigger","epworth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.732,0.949,9,-3.734,1,0.0831,0.00208,0.572,0.348,0.557,125.032,"audio_features","3jIFcrHrnLgBio9z8mkMBo","spotify:track:3jIFcrHrnLgBio9z8mkMBo","https://api.spotify.com/v1/tracks/3jIFcrHrnLgBio9z8mkMBo","https://api.spotify.com/v1/audio-analysis/3jIFcrHrnLgBio9z8mkMBo",176720,4,"Acrobatic","SIDEPIECE","Acrobatic","epworth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.511,0.839,3,-2.716,1,0.0499,0.0451,0.000784,0.284,0.693,154.656,"audio_features","2yDmLnewD1BbvuL4zRhdV4","spotify:track:2yDmLnewD1BbvuL4zRhdV4","https://api.spotify.com/v1/tracks/2yDmLnewD1BbvuL4zRhdV4","https://api.spotify.com/v1/audio-analysis/2yDmLnewD1BbvuL4zRhdV4",125200,4,"Kiss You Better","Maximo Park","A Certain Trigger","epworth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.499,0.898,8,-4.181,0,0.124,0.124,7.2e-06,0.0832,0.618,120.04,"audio_features","0ZXdzaT1k688dkpNeEgQiV","spotify:track:0ZXdzaT1k688dkpNeEgQiV","https://api.spotify.com/v1/tracks/0ZXdzaT1k688dkpNeEgQiV","https://api.spotify.com/v1/audio-analysis/0ZXdzaT1k688dkpNeEgQiV",207668,4,"I Don't Know Why","NOTD","I Don't Know Why","epworth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.533,0.967,1,-2.543,1,0.0995,0.00791,0,0.336,0.782,142.018,"audio_features","4CbKVDZkYKdv69I4bCaKUq","spotify:track:4CbKVDZkYKdv69I4bCaKUq","https://api.spotify.com/v1/tracks/4CbKVDZkYKdv69I4bCaKUq","https://api.spotify.com/v1/audio-analysis/4CbKVDZkYKdv69I4bCaKUq",186813,4,"Hero","Skillet","Awake","epworth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.747,0.655,1,-6.482,1,0.221,0.193,0,0.356,0.68,145.039,"audio_features","5HYfjpGQJ9mG6G9dbmzMUH","spotify:track:5HYfjpGQJ9mG6G9dbmzMUH","https://api.spotify.com/v1/tracks/5HYfjpGQJ9mG6G9dbmzMUH","https://api.spotify.com/v1/audio-analysis/5HYfjpGQJ9mG6G9dbmzMUH",168831,4,"Where Ya From?","Kidz At Play","Where Ya From?","epworth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.641,0.673,5,-5.387,1,0.294,0.119,0,0.293,0.535,170.025,"audio_features","2zs3ErwfEyzI4K2H9vEnTD","spotify:track:2zs3ErwfEyzI4K2H9vEnTD","https://api.spotify.com/v1/tracks/2zs3ErwfEyzI4K2H9vEnTD","https://api.spotify.com/v1/audio-analysis/2zs3ErwfEyzI4K2H9vEnTD",252706,4,"No Good","Juice WRLD","Goodbye & Good Riddance (5 Year Anniversary Edition)","epworth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.746,0.85,1,-5.204,1,0.0362,3.17e-05,0.0499,0.153,0.918,117.995,"audio_features","0ZbNQQtAbdQoTWxt4avi2w","spotify:track:0ZbNQQtAbdQoTWxt4avi2w","https://api.spotify.com/v1/tracks/0ZbNQQtAbdQoTWxt4avi2w","https://api.spotify.com/v1/audio-analysis/0ZbNQQtAbdQoTWxt4avi2w",279480,4,"Get Myself Into It","The Rapture","Pieces Of The People We Love","epworth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.684,0.85,7,-6.263,1,0.0403,5.03e-05,0.0196,0.795,0.497,123.829,"audio_features","28PYfU2cTIMCF782T9p6sc","spotify:track:28PYfU2cTIMCF782T9p6sc","https://api.spotify.com/v1/tracks/28PYfU2cTIMCF782T9p6sc","https://api.spotify.com/v1/audio-analysis/28PYfU2cTIMCF782T9p6sc",275373,4,"Don Gon Do It","The Rapture","Pieces Of The People We Love","epworth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
